time,Open,High,Low,Close,Volume,spread,real_volume,Symbol,Date,TimeFrame
1644248700,0.7267,0.72674,0.72628,0.7265,1074,15,0,CADCHF,2022-02-07 15:45:00,M15
1644249600,0.7265,0.72702,0.72616,0.72678,1473,15,0,CADCHF,2022-02-07 16:00:00,M15
1644250500,0.72677,0.7268,0.72633,0.72634,1071,15,0,CADCHF,2022-02-07 16:15:00,M15
1644251400,0.72635,0.72684,0.72609,0.72651,2268,15,0,CADCHF,2022-02-07 16:30:00,M15
1644252300,0.72653,0.72733,0.72652,0.72709,2152,15,0,CADCHF,2022-02-07 16:45:00,M15
1644253200,0.72707,0.72718,0.72637,0.72647,1577,15,0,CADCHF,2022-02-07 17:00:00,M15
1644254100,0.72647,0.72693,0.72621,0.72676,1242,15,0,CADCHF,2022-02-07 17:15:00,M15
1644255000,0.72679,0.72741,0.72666,0.72684,1462,15,0,CADCHF,2022-02-07 17:30:00,M15
1644255900,0.72685,0.72801,0.72668,0.72772,2436,15,0,CADCHF,2022-02-07 17:45:00,M15
1644256800,0.72772,0.72847,0.72769,0.72847,1733,15,0,CADCHF,2022-02-07 18:00:00,M15
1644257700,0.72847,0.72876,0.72783,0.72786,1679,15,0,CADCHF,2022-02-07 18:15:00,M15
1644258600,0.72787,0.72816,0.7275,0.72773,1190,15,0,CADCHF,2022-02-07 18:30:00,M15
1644259500,0.72773,0.72869,0.72759,0.72853,1013,15,0,CADCHF,2022-02-07 18:45:00,M15
1644260400,0.72852,0.72901,0.72841,0.72876,780,15,0,CADCHF,2022-02-07 19:00:00,M15
1644261300,0.72876,0.72876,0.72853,0.7286,646,15,0,CADCHF,2022-02-07 19:15:00,M15
1644262200,0.7286,0.72892,0.72841,0.72881,767,15,0,CADCHF,2022-02-07 19:30:00,M15
1644263100,0.72881,0.72897,0.72867,0.72874,632,15,0,CADCHF,2022-02-07 19:45:00,M15
1644264000,0.72875,0.72909,0.72867,0.729,510,15,0,CADCHF,2022-02-07 20:00:00,M15
1644264900,0.729,0.72917,0.72888,0.72902,355,2,0,CADCHF,2022-02-07 20:15:00,M15
1644265800,0.72902,0.72933,0.72899,0.72902,388,7,0,CADCHF,2022-02-07 20:30:00,M15
1644266700,0.72902,0.72909,0.72885,0.72908,316,5,0,CADCHF,2022-02-07 20:45:00,M15
1644267600,0.72909,0.72922,0.729,0.72908,309,15,0,CADCHF,2022-02-07 21:00:00,M15
1644268500,0.72909,0.72943,0.72904,0.72929,481,5,0,CADCHF,2022-02-07 21:15:00,M15
1644269400,0.72929,0.72956,0.72925,0.7293,516,6,0,CADCHF,2022-02-07 21:30:00,M15
1644270300,0.7293,0.72937,0.72901,0.72916,553,15,0,CADCHF,2022-02-07 21:45:00,M15
1644271200,0.72917,0.72933,0.72906,0.72933,567,15,0,CADCHF,2022-02-07 22:00:00,M15
1644272100,0.72932,0.72944,0.729,0.72902,452,6,0,CADCHF,2022-02-07 22:15:00,M15
1644273000,0.72902,0.72911,0.72882,0.72883,533,15,0,CADCHF,2022-02-07 22:30:00,M15
1644273900,0.72882,0.72886,0.72839,0.72885,717,15,0,CADCHF,2022-02-07 22:45:00,M15
1644274800,0.72886,0.72921,0.72881,0.72899,347,8,0,CADCHF,2022-02-07 23:00:00,M15
1644275700,0.72898,0.7292,0.72889,0.72913,131,7,0,CADCHF,2022-02-07 23:15:00,M15
1644276600,0.72913,0.72921,0.72877,0.72899,177,11,0,CADCHF,2022-02-07 23:30:00,M15
1644277500,0.72899,0.72906,0.72875,0.72885,158,12,0,CADCHF,2022-02-07 23:45:00,M15
1644278400,0.72896,0.72896,0.72826,0.72841,42,84,0,CADCHF,2022-02-08 00:00:00,M15
1644279300,0.72841,0.72878,0.72789,0.72789,55,52,0,CADCHF,2022-02-08 00:15:00,M15
1644280200,0.72789,0.72875,0.7277,0.7281,157,53,0,CADCHF,2022-02-08 00:30:00,M15
1644281100,0.72819,0.72873,0.72759,0.72818,189,59,0,CADCHF,2022-02-08 00:45:00,M15
1644282000,0.72821,0.72887,0.72821,0.72878,297,15,0,CADCHF,2022-02-08 01:00:00,M15
1644282900,0.7288,0.72898,0.7287,0.72872,187,13,0,CADCHF,2022-02-08 01:15:00,M15
1644283800,0.72875,0.72884,0.72867,0.72881,153,13,0,CADCHF,2022-02-08 01:30:00,M15
1644284700,0.72881,0.72889,0.72868,0.72871,96,12,0,CADCHF,2022-02-08 01:45:00,M15
1644285600,0.72871,0.72891,0.72861,0.72889,364,7,0,CADCHF,2022-02-08 02:00:00,M15
1644286500,0.72889,0.72889,0.72858,0.72866,213,5,0,CADCHF,2022-02-08 02:15:00,M15
1644287400,0.72867,0.72876,0.72859,0.72862,161,6,0,CADCHF,2022-02-08 02:30:00,M15
1644288300,0.72863,0.729,0.72858,0.72878,257,5,0,CADCHF,2022-02-08 02:45:00,M15
1644289200,0.72879,0.72885,0.72852,0.72867,462,15,0,CADCHF,2022-02-08 03:00:00,M15
1644290100,0.72866,0.72883,0.72846,0.72868,352,5,0,CADCHF,2022-02-08 03:15:00,M15
1644291000,0.72867,0.72887,0.72851,0.72866,396,6,0,CADCHF,2022-02-08 03:30:00,M15
1644291900,0.72865,0.72898,0.72856,0.72898,468,9,0,CADCHF,2022-02-08 03:45:00,M15
1644292800,0.72898,0.729,0.72855,0.72859,473,7,0,CADCHF,2022-02-08 04:00:00,M15
1644293700,0.7286,0.72885,0.72851,0.72884,374,7,0,CADCHF,2022-02-08 04:15:00,M15
1644294600,0.72884,0.72886,0.72864,0.72865,249,15,0,CADCHF,2022-02-08 04:30:00,M15
1644295500,0.72864,0.72896,0.72864,0.7289,258,5,0,CADCHF,2022-02-08 04:45:00,M15
1644296400,0.7289,0.72892,0.72865,0.72873,173,6,0,CADCHF,2022-02-08 05:00:00,M15
1644297300,0.72873,0.72883,0.72849,0.72881,168,4,0,CADCHF,2022-02-08 05:15:00,M15
1644298200,0.72883,0.72895,0.72868,0.72873,167,5,0,CADCHF,2022-02-08 05:30:00,M15
1644299100,0.72876,0.72878,0.72853,0.72858,193,7,0,CADCHF,2022-02-08 05:45:00,M15
1644300000,0.72858,0.72892,0.72857,0.72891,128,7,0,CADCHF,2022-02-08 06:00:00,M15
1644300900,0.72871,0.72891,0.72864,0.72864,125,6,0,CADCHF,2022-02-08 06:15:00,M15
1644301800,0.72862,0.72874,0.72849,0.72866,186,7,0,CADCHF,2022-02-08 06:30:00,M15
1644302700,0.72866,0.7287,0.72847,0.72857,91,7,0,CADCHF,2022-02-08 06:45:00,M15
